acronym,acronym_lemma,expand_acronym
"איפא""ק ","איפא""ק ","איפא""ק "
"         באיפא""ק ","איפא""ק ","איפא""ק "
"         האו""ם ","או""ם",אומות מאוחדות
"         יו""ר ","יו""ר",יושב ראש
"         צה""ל ","צה""ל",צבא הגנה לישראל
"         בחו""ל ","חו""ל",חוץ לארץ
"         מע""מ ","מע""מ",מס ערץ מוסף
"         אונר""א ","אונר""א","אונר""א"
"         ח""כ ","ח""כ",חבר כנסת
"         ארה""ב ","ארה""ב",ארצות הברית
"         היועמ""ש ","יועמ""ש",יועץ משפטי לממשלה
"         היועמ""ש  ","יועמ""ש",יועץ משפטי לממשלה
"         אונסק""ו ","אונסק""ו","אונסק""ו"
"         יועמ""ש ","יועמ""ש",יועץ משפטי לממשלה
"         חז""ל ","חז""ל",חכמינו זכרונם לברכה
"         ביה""ד ","ביה""ד",בית הדין
"         בג""ץ ","בג""ץ",בית דין גבוה לצדק
"         שביהמ""ש  ","ביהמ""ש",בית המשפט
"         דו""ח  ","דו""ח","דו""ח"
"         מזכ""ל  ","מזכ""ל",מזכיר כללי
"         שבג""ץ  ","בג""ץ",בית דין גבוה לצדק
"         אח""כ  ","אח""כ",אחר כך
"         שסבא""א  ","סבא""א",
"         באו""ם  ","או""ם",אומות מאוחדות
"         בארה""ב  ","ארה""ב",ארצות הברית
"         מהתמ""ת  ","התמ""ת",
"         ביהמ""ש  ","ביהמ""ש",בית המשפט
"         הבג""ץ  ","בג""ץ",בית דין גבוה לצדק
"         כשארה""ב  ","ארה""ב",ארצות הברית
"         המל""ג  ","המל""ג",
"         רה""מ  ","רה""מ",ראש הממשלה
"         ש""ס  ","ש""ס",
"         בג""צ  ","בג""ץ",בית דין גבוה לצדק
"         ש""ח  ","ש""ח",שקל חדש
"         שלבג""ץ  ","בג""ץ",בית דין גבוה לצדק
"         כיו""ר  ","יו""ר",יושב ראש
"         קק""ל  ","קק""ל",קרן קיימת לישראל
"         הלמ""ס  ","הלמ""ס",
"         בביהמ""ש  ","ביהמ""ש",בית המשפט
